Date,Gemini,GDAX,Coinbase,Kraken,Poloniex,Bitstamp
2017-11-26 06-PM,9284.22,9394.55,9394.55,9210.1,9165,9165
2017-11-26 05-PM,9300.01,9383,9383,9260,9225,9225
2017-11-26 04-PM,9074.86,9194,9194,9000,9044,9044
2017-11-26 03-PM,8956.08,9040,9040,8929.6,8930,8930
2017-11-26 02-PM,8959.96,9070.01,9070.01,8939.9,8922.52,8922.52
2017-11-26 01-PM,8936.19,9052.05,9052.05,8896.2,8902.55,8902.55
2017-11-26 12-PM,8942.01,9064.93,9064.93,8895,8920,8920
2017-11-26 11-AM,8920,9007.77,9007.77,8874.9,8890,8890
2017-11-26 10-AM,8888.28,8950,8950,8844.4,8859.75,8859.75
2017-11-26 09-AM,8848.01,8939.51,8939.51,8804.2,8800.13,8800.13
2017-11-26 08-AM,8943.93,9109.22,9109.22,8891.5,8899.61,8899.61
2017-11-26 07-AM,9013,9190,9190,8940,8910,8910
2017-11-26 06-AM,8935.51,9040,9040,8870.5,8855,8855
2017-11-26 05-AM,8924.29,9008.24,9008.24,8874.9,8852.47,8852.47
2017-11-26 04-AM,8872,8926,8926,8810,8765.1,8765.1
2017-11-26 03-AM,8799.99,8912.06,8912.06,8763.8,8697.71,8697.71
2017-11-26 02-AM,8854.88,8894.99,8894.99,8780.1,8797.98,8797.98
2017-11-26 01-AM,8848.98,8903,8903,8750,8778.01,8778.01
2017-11-26 12-AM,8779.62,8795.5,8795.5,8690,8717.99,8717.99
2017-11-25 11-PM,8717.01,8740,8740,8650.8,8638.29,8638.29
2017-11-25 10-PM,8722.03,8743,8743,8660.3,8663,8663
2017-11-25 09-PM,8715.96,8737.75,8737.75,8643.9,8655,8655
